isBio,isFreeSpace,isEnough,isLongTime,isQuality,isPaid,isWinter,isBag,result
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,1,0
0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,1,0
0,0,0,0,1,1,0,0,0
0,0,0,0,1,1,0,1,0
0,0,0,0,1,1,1,0,0
0,0,0,0,1,1,1,1,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,0
0,0,0,1,0,1,0,1,0
0,0,0,1,0,1,1,0,0
0,0,0,1,0,1,1,1,0
0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,1,0
0,0,0,1,1,0,1,0,0
0,0,0,1,1,0,1,1,0
0,0,0,1,1,1,0,0,0
0,0,0,1,1,1,0,1,0
0,0,0,1,1,1,1,0,0
0,0,0,1,1,1,1,1,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,1,0
0,0,1,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0
0,0,1,0,1,0,0,0,0
0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,0
0,0,1,0,1,0,1,1,0
0,0,1,0,1,1,0,0,0
0,0,1,0,1,1,0,1,0
0,0,1,0,1,1,1,0,0
0,0,1,0,1,1,1,1,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0
0,0,1,1,0,0,1,1,0
0,0,1,1,0,1,0,0,0
0,0,1,1,0,1,0,1,0
0,0,1,1,0,1,1,0,0
0,0,1,1,0,1,1,1,0
0,0,1,1,1,0,0,0,0
0,0,1,1,1,0,0,1,0
0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,1,1,0
0,0,1,1,1,1,0,0,0
0,0,1,1,1,1,0,1,0
0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,1,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,0
0,1,0,0,0,1,0,0,0
0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,1,0,0
0,1,0,0,0,1,1,1,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0,0
0,1,0,0,1,0,1,1,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,1,1
0,1,0,0,1,1,1,0,0
0,1,0,0,1,1,1,1,1
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,1,0,0
0,1,0,1,0,0,1,1,0
0,1,0,1,0,1,0,0,0
0,1,0,1,0,1,0,1,1
0,1,0,1,0,1,1,0,0
0,1,0,1,0,1,1,1,1
0,1,0,1,1,0,0,0,0
0,1,0,1,1,0,0,1,0
0,1,0,1,1,0,1,0,0
0,1,0,1,1,0,1,1,0
0,1,0,1,1,1,0,0,1
0,1,0,1,1,1,0,1,1
0,1,0,1,1,1,1,0,1
0,1,0,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,1,0,0,0
0,1,1,0,0,1,0,1,1
0,1,1,0,0,1,1,0,0
0,1,1,0,0,1,1,1,1
0,1,1,0,1,0,0,0,0
0,1,1,0,1,0,0,1,0
0,1,1,0,1,0,1,0,0
0,1,1,0,1,0,1,1,0
0,1,1,0,1,1,0,0,1
0,1,1,0,1,1,0,1,1
0,1,1,0,1,1,1,0,1
0,1,1,0,1,1,1,1,1
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,0
0,1,1,1,0,0,1,0,0
0,1,1,1,0,0,1,1,0
0,1,1,1,0,1,0,0,0
0,1,1,1,0,1,0,1,1
0,1,1,1,0,1,1,0,0
0,1,1,1,0,1,1,1,1
0,1,1,1,1,0,0,0,0
0,1,1,1,1,0,0,1,0
0,1,1,1,1,0,1,0,0
0,1,1,1,1,0,1,1,0
0,1,1,1,1,1,0,0,1
0,1,1,1,1,1,0,1,1
0,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,1,1,0
1,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0
1,0,0,0,1,0,1,0,0
1,0,0,0,1,0,1,1,0
1,0,0,0,1,1,0,0,0
1,0,0,0,1,1,0,1,0
1,0,0,0,1,1,1,0,0
1,0,0,0,1,1,1,1,0
1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0
1,0,0,1,0,0,1,1,0
1,0,0,1,0,1,0,0,0
1,0,0,1,0,1,0,1,0
1,0,0,1,0,1,1,0,0
1,0,0,1,0,1,1,1,0
1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,1,0
1,0,0,1,1,0,1,0,0
1,0,0,1,1,0,1,1,0
1,0,0,1,1,1,0,0,0
1,0,0,1,1,1,0,1,0
1,0,0,1,1,1,1,0,0
1,0,0,1,1,1,1,1,0
1,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0
1,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,1,0
1,0,1,0,0,1,0,0,0
1,0,1,0,0,1,0,1,0
1,0,1,0,0,1,1,0,0
1,0,1,0,0,1,1,1,0
1,0,1,0,1,0,0,0,0
1,0,1,0,1,0,0,1,0
1,0,1,0,1,0,1,0,0
1,0,1,0,1,0,1,1,0
1,0,1,0,1,1,0,0,0
1,0,1,0,1,1,0,1,0
1,0,1,0,1,1,1,0,0
1,0,1,0,1,1,1,1,0
1,0,1,1,0,0,0,0,0
1,0,1,1,0,0,0,1,0
1,0,1,1,0,0,1,0,0
1,0,1,1,0,0,1,1,0
1,0,1,1,0,1,0,0,0
1,0,1,1,0,1,0,1,0
1,0,1,1,0,1,1,0,0
1,0,1,1,0,1,1,1,0
1,0,1,1,1,0,0,0,0
1,0,1,1,1,0,0,1,0
1,0,1,1,1,0,1,0,0
1,0,1,1,1,0,1,1,0
1,0,1,1,1,1,0,0,0
1,0,1,1,1,1,0,1,0
1,0,1,1,1,1,1,0,0
1,0,1,1,1,1,1,1,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
1,1,0,0,0,0,1,0,0
1,1,0,0,0,0,1,1,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,1,1
1,1,0,0,0,1,1,0,0
1,1,0,0,0,1,1,1,0
1,1,0,0,1,0,0,0,0
1,1,0,0,1,0,0,1,0
1,1,0,0,1,0,1,0,0
1,1,0,0,1,0,1,1,0
1,1,0,0,1,1,0,0,1
1,1,0,0,1,1,0,1,1
1,1,0,0,1,1,1,0,0
1,1,0,0,1,1,1,1,0
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,1,0
1,1,0,1,0,0,1,0,0
1,1,0,1,0,0,1,1,0
1,1,0,1,0,1,0,0,0
1,1,0,1,0,1,0,1,1
1,1,0,1,0,1,1,0,0
1,1,0,1,0,1,1,1,0
1,1,0,1,1,0,0,0,0
1,1,0,1,1,0,0,1,0
1,1,0,1,1,0,1,0,0
1,1,0,1,1,0,1,1,0
1,1,0,1,1,1,0,0,1
1,1,0,1,1,1,0,1,1
1,1,0,1,1,1,1,0,1
1,1,0,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0
1,1,1,0,0,0,1,1,0
1,1,1,0,0,1,0,0,0
1,1,1,0,0,1,0,1,1
1,1,1,0,0,1,1,0,0
1,1,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,0
1,1,1,0,1,0,0,1,0
1,1,1,0,1,0,1,0,0
1,1,1,0,1,0,1,1,0
1,1,1,0,1,1,0,0,1
1,1,1,0,1,1,0,1,1
1,1,1,0,1,1,1,0,1
1,1,1,0,1,1,1,1,1
1,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,1,0
1,1,1,1,0,0,1,0,0
1,1,1,1,0,0,1,1,0
1,1,1,1,0,1,0,0,0
1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,0,0
1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,0,0,0
1,1,1,1,1,0,0,1,0
1,1,1,1,1,0,1,0,0
1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1
